document_id,year,paper,question_number,subquestion,marks,question_text,source_type,segmentation_status
2021_nov_p2_exam_maths,2021,P2,3,3.4.2,,"Determine the equation of the:
(a) Circle with centre at E and passing through B and T in the form
(x-a)’ +(y-by =r? (2)
(b) Tangent to the circle at point B(k; k) (3)
[24]
Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P2 6 DBE/November 2021
NSC",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,4,4.1,1.0,Write down the length of the radius of the circle.,exam,ok
2021_nov_p2_exam_maths,2021,P2,4,4.2,,Calculate the:,exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,4,4.2.1,2.0,Coordinates of C,exam,ok
2021_nov_p2_exam_maths,2021,P2,4,4.2.2,2.0,Coordinates of D,exam,ok
2021_nov_p2_exam_maths,2021,P2,4,4.2.3,3.0,Area of ABCD,exam,ok
2021_nov_p2_exam_maths,2021,P2,4,4.3,,"The circle, centred at N, is reflected about the line y=x. M is the centre of the new

circle which is formed. The two circles intersect at A and F.

Calculate the:",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,4,4.3.1,3.0,Length of NM,exam,ok
2021_nov_p2_exam_maths,2021,P2,4,4.3.2,,"Midpoint of AF (4)

{15}

Copyright reserved Please turn over

===== Page 7 =====
Mathematics/P2 7 DBE/November 2021
NSC",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,5,5.1,,"Without using a calculator, simplify the following expression to ONE trigonometric
ratio:
sin 140°. sin(360° — x) ‘5
cos 50°. tan(—x) (6)
4. —2sin’?x+cosx+1",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,5,5.2,,"Prove the identity: —————__————- = 2cosx-1 (4)
1 ~cos(540° — x)",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,5,5.3,,"Given: sin36°=./1— p’
Without using a calculator, determine EACH of the following in terms of p:",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,5,5.3.1,3.0,tan 36°,exam,ok
2021_nov_p2_exam_maths,2021,P2,5,5.3.2,,cos108° (4),exam,mark_capped
2021_nov_p2_exam_maths,2021,P2,6,6.1,,Given: cos(a ~ 8) =cosacos £+sinasin §,exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,6,6.1.1,3.0,Use the given identity to derive a formula for cos(@ + £),exam,ok
2021_nov_p2_exam_maths,2021,P2,6,6.1.2,5.0,Simplify completely: 2cos6xcos4x—cos10x+2sin? x,exam,ok
2021_nov_p2_exam_maths,2021,P2,6,6.2,,"Determine the general solution of tanx =2sin2x where cosx <0. (7)
[15]
Copyright reserved Please turn over

===== Page 8 =====
Mathematics/P2 8 DBE/November 2021
NSC",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,7,7.1,3.0,"On the grid provided in the ANSWER BOOK, draw the graph of
g(x) =cos(x~60°) for xe[-180°; 180°]. Clearly show ALL intercepts with the
axes and turning points of the graph.",exam,ok
2021_nov_p2_exam_maths,2021,P2,7,7.2,2.0,Write down the period of f(3x).,exam,ok
2021_nov_p2_exam_maths,2021,P2,7,7.3,1.0,"Use the graphs to determine the value of x in the interval x <[—180°; 180°] for
which f(x)- g(x)=1.",exam,ok
2021_nov_p2_exam_maths,2021,P2,7,7.4,,"Write down the range of k, if k(x) = ; g(x) +1. (2)
[8]
Copyright reserved Please turn over

===== Page 9 =====
Mathematics/P2 9 DBE/November 2021
NSC",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,8,8.1,3.0,Prove that QS = 5 tanx,exam,ok
2021_nov_p2_exam_maths,2021,P2,8,8.2,5.0,Prove that the length of QT =10sinx,exam,ok
2021_nov_p2_exam_maths,2021,P2,8,8.3,,"Calculate the area of ATQR if TQR = 70° and x= 25°. (2)
[10]
Copyright reserved Please turn over

===== Page 10 =====
Mathematics/P2 10 DBE/November 2021
NSC",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,9,9.1,1.0,Give areason why ST =TR.,exam,ok
2021_nov_p2_exam_maths,2021,P2,9,9.2,,"Calculate, giving reasons, the size of:",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,9,9.2.1,2.0,"S,",exam,ok
2021_nov_p2_exam_maths,2021,P2,9,9.2.2,,"S, (2)
[5]
Copyright reserved Please turn over

===== Page 11 =====
Mathematics/P2 11 DBE/November 2021
NSC",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,10,10.1,1.0,Give areason why AF = FE.,exam,ok
2021_nov_p2_exam_maths,2021,P2,10,10.2,3.0,"Determine, giving reasons, the size of M, in terms of x.",exam,ok
2021_nov_p2_exam_maths,2021,P2,10,10.3,4.0,"Prove, giving reasons, that AD is a tangent to the circle passing through A, C
and F.",exam,ok
2021_nov_p2_exam_maths,2021,P2,10,10.4,,"Given that CF = 6 units and AB = 24 units, calculate, giving reasons, the length
of AE. (5)
[13]
Copyright reserved Please turn over

===== Page 12 =====
Mathematics/P2 12 DBE/November 2021
NSC",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,11,11.1,,"In the diagram, chords DE, EF and DF are drawn in the circle with centre O.

KFC is a tangent to the circle at F.

J. \
\y
K F ©

Prove the theorem which states that DFK =F. (5)

Copyright reserved Please turn over

===== Page 13 =====
Mathematics/P2 13 DBE/November 2021
NSC",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,11,11.2,,"In the diagram, PK is a tangent to the circle at K. Chord LS is produced to P.
N and M are points on KP and SP _ respectively such that MN || SK.
Chord KS and LN intersect at T.
(—>
M
P",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,11,11.2.1,1.0,"Prove, giving reasons, that:
@) &,=NNIL (4)
(b) KLMN is acyclic quadrilateral",exam,ok
2021_nov_p2_exam_maths,2021,P2,11,11.2.2,5.0,"Prove, giving reasons, that ALKN ||| AKSM.",exam,ok
2021_nov_p2_exam_maths,2021,P2,11,11.2.3,4.0,"If LK = 12 units and 3KN =4SM, determine the length of KS.",exam,ok
2021_nov_p2_exam_maths,2021,P2,11,11.2.4,,"If it is further given that NL = 16 units, LS = 13 units and KN = 8 units,
determine, with reasons, the length of LT. (4)
[23]
TOTAL: 150
Copyright reserved

===== Page 14 =====
Mathematics/P2 DBE/November 2021
NSC
INFORMATION SHEET: MATHEMATICS
ee OEY —4ac ,
2a
A =P(1+ni) A= P(l-xi) A= P(1-i)” A=P(1+i)""
T, =a+(n-l)d S, = 5 2a+(n-a]
T, =ar""™"" Ss = 8"" =D gy S,=— +; -ler<l
. r-l l-r
re x[asiy | >= xhi-a+ iy”
i i
ley) — lien LOH t A) - FO)
f(x) = lim P
SEEN SEE EEE ee xX, +x, Wty
d= \(x,-x,°+(.-») Ml 5 +; 5 |
y=mxte y-y, =m(x-x,) m= 221 m= tan@
Xx. —X,
(x-a) +(y-by =r?
In AABC: —@ _ 6 _
sin A sinB sinC
a’ =b’ +c’ —2be.cos A
area AABC = Sab. sin Cc
sin(a + #)=sinacos # + cos asin B sin(a — #) =sinacos 8 —cosasin B
cos(a + #)=cosacos f-sinasin f cos(a — f)=cosacos #+sinasin B
cos’ a —sin’ a
cos2a=| 1-2sin’a sin 2a = 2sina cosa
2cos*a-1
_ yx dil, - x)
x =~ 2_ i=l
n oO =
n
n(A)
P(A) ~ AS) P(A or B)= P(A)+ P(B)- P(A and B)
n
> &-xXy-7)
y=ath b= SS oN
¥=atTOX > (x3)
Copyright reserved",exam,missing_marks
