year,document_id,paper,question_number,subquestion,marks,question_text,segmentation_status,topic_v2,subtopic_v2,mapping_method_v2,mapping_confidence_v2,signature_id_v2,_source,inherited_v2,inherited_from_v2
2017,2017_nov_p1_exam_maths,P1,5,5.4,2.0,"Write down the equation of f~’, the inverse of /, in the form yr...",ok,FUNC,,signature,high,nsc_inverse,path_a,False,
2017,2017_nov_p1_exam_maths,P1,5,5.5,2.0,For which values of x will f'(x)<3?,ok,FUNC,,signature,medium,nsc_interpret,path_a,False,
2017,2017_nov_p1_exam_maths,P1,5,5.6,,"Determine the point of intersection of the graphs of f and the axis of symmetry of g
that has a negative gradient. (3)
[14]
Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P1 6 DBE/November 2017
NSC",missing_marks,AGEO,,signature,high,gradient,path_a,False,
2017,2017_nov_p2_exam_maths,P2,5,5.2,,"In the diagram, P(3 ; #) is a point in the Cartesian plane. OP =./34 and HOP= Bis

a reflex angle.

y
B H
x
Ba
\ PB ; £)

Without using a calculator, determine the value of:",stem,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,5,5.2.1,2.0,t,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,5,5.2.2,1.0,tan B,ok,TRIG,,lexicon,medium,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,5,5.2.3,4.0,cos 28,ok,TRIG,,lexicon,medium,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,5,5.3,,Prove:,stem,EUCL,,lexicon,medium,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,5,5.3.1,2.0,sin(A + B)—sin(A -B) = 2cosA.sinB,ok,TRIG,,lexicon,medium,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,5,5.3.2,,"Without using a calculator, that sin77° —sin 43° = sin17° (4)

[19]

Copyright reserved Please turn over

===== Page 8 =====
Mathematics/P2 8 DBE/November 2017
NSC",missing_marks,TRIG,,lexicon,medium,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,6,6.1,5.0,"Mbali invested R10 000 for 3 years at an interest rate of r % p.a., compounded
monthly. At the end of this period, she received R12 146,72. Calculate r, correct
to ONE decimal place.",ok,FIN,,signature,high,nsc_compound,path_a,False,
2017,2017_nov_p1_exam_maths,P1,6,6.2,,"Piet takes a loan from a bank to buy a car for R235 000. He agrees‘to repay the loan
over a period of 54 months. The first instalment will be paid one month after the loan
is granted. The bank charges interest at 11% p.a., compounded monthly.",stem,FIN,,signature,high,nsc_loan,path_a,False,
2017,2017_nov_p1_exam_maths,P1,6,6.2.1,4.0,Calculate Piet's monthly instalment.,ok,FIN,,signature,high,nsc_instalment,path_a,False,
2017,2017_nov_p1_exam_maths,P1,6,6.2.2,15.0,"Calculate the total amount of interest that Piet will pay during the first
year of the repayment of the loan. (6)",ok,FIN,,signature,high,nsc_loan,path_a,False,
2017,2017_nov_p2_exam_maths,P2,6,6.1,4.0,"Draw the graph of g(x)=2sinx—-1 for the interval x €[—270°;90°] on the grid
given in your ANSWER BOOK. Show ALL the intercepts with the axes, as well as
the turning points.",ok,CALC,,struct,medium,STRUCT_CALC,path_a,False,
2017,2017_nov_p2_exam_maths,P2,6,6.2,4.0,"Let A be a point of intersection of the graphs of f and g. Show that the x-coordinate
of A satisfies the equation sin x = a 1+ v5 .
2",ok,CALC,,signature,medium,nsc_intersect_3,path_a,False,
2017,2017_nov_p2_exam_maths,P2,6,6.3,,"Hence, calculate the coordinates of the points of intersection of graphs of f and g for
the interval x €[—270°; 90°]. (4)
[12]
Copyright reserved Please turn over

===== Page 9 =====
Mathematics/P2 9 DBE/November 2017
NSC",missing_marks,CALC,,signature,medium,nsc_intersect_3,path_a,False,
2017,2017_nov_p1_exam_maths,P1,7,7.1,6.0,"Given: f(x) =2x?-x
Determine f’(x) from first principles.",ok,CALC,,signature,high,nsc_first_principles,path_a,False,
2017,2017_nov_p1_exam_maths,P1,7,7.2,,Determine:,stem,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,7,7.2.1,,"D,{(x +1)3x-7)] (2)
dy . 3; ~6(C«<CO;SCd
722 if yeViP-2 450 (4)
[12]
Copyright reserved Please turn over

===== Page 7 =====
Mathematics/P1 7 DBE/November 2017
NSC",missing_marks,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,7,7.1,1.0,Write down the size of ABC.,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,7,7.2,,"Show that AC = Ktany (4)
sin x",missing_marks,TRIG,,lexicon,medium,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,7,7.3,,"If it is further given that DAC=2x and AD = AC, show that the distance DC
between the players at D and C is 2k tan y. (5)
[10]
Copyright reserved Please turn over

===== Page 10 =====
Mathematics/P2 10 DBE/November 2017
NSC
Give reasons for your statements in QUESTIONS 8, 9, 10 and 11.",missing_marks,SEQ,,signature,high,nsc_term_to_term,path_a,False,
2017,2017_nov_p1_exam_maths,P1,8,8.1,5.0,Show that f has a point of inflection at x = 2.,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,8,8.2,4.0,"Sketch the graph of f, clearly indicating the intercepts with the axes and the turning
points.",ok,CALC,,lexicon,medium,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,8,8.3,2.0,For which values of x will y=~—f (x) be concave down?,ok,CALC,,signature,high,nsc_concave,path_a,False,
2017,2017_nov_p1_exam_maths,P1,8,8.4,,Use your graph to answer the following questions:,stem,CALC,,lexicon,medium,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,8,8.4.1,15.0,"Determine the coordinates of the local maximum of h if
A(x) = f(x-2)+3. (2)
842 Claire claims that f’ (2) =1.
Do you agree with Claire? Justify your answer. (2)",ok,CALC,,signature,medium,nsc_maximum,path_a,False,
2017,2017_nov_p2_exam_maths,P2,8,8.1,,"Calculate, with reasons, the size of:",stem,EUCL,,signature,high,with_reasons,path_a,False,
2017,2017_nov_p2_exam_maths,P2,8,8.1.1,3.0,A,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,8,8.1.2,2.0,"C,",ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,8,8.2,,"Prove, with a reason, that CF is a tangent to the circle passing through points C, D

and E, (2)

[7]

Copyright reserved Please turn over

===== Page 11 =====
Mathematics/P2 11 DBE/November 2017
NSC",missing_marks,CALC,,signature,high,tangent_gradient,path_a,False,
2017,2017_nov_p1_exam_maths,P1,9,9,,"QUESTION 9
An aerial view of a stretch of road is shown in the diagram below. The road can be described by
the function y=x°+2, x>0 ifthe coordinate axes (dotted lines) are chosen as shown in the
diagram.
Benny sits at a vantage point B(O ; 3) and observes a car, P, travelling along the road.
*B(0; 3)
y=x° +2; x>0
a: a: <
Calculate the distance between Benny and the car, when the car is closest to Benny. [7]
Copyright reserved Please turn over

===== Page 8 =====
Mathematics/P 1 8 DBE/November 2017
NSC",no_sub_markers,AGEO,,signature,high,distance,path_a,False,
2017,2017_nov_p2_exam_maths,P2,9,9.1,,Prove that:,stem,EUCL,,struct,medium,STRUCT_EUCL,path_a,False,
2017,2017_nov_p2_exam_maths,P2,9,9.1.1,2.0,FG || BC,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,9,9.1.2,,"AH _AE (3)

HK ED",missing_marks,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,9,9.2,,"If it is further given that AH = 15 and ED = 12, calculate the length of EK. (5)
[10]

Copyright reserved Please turn over

===== Page 12 =====
Mathematics/P2 12 DBE/November 2017
NSC",missing_marks,FUNC,,signature,medium,nsc_length,path_a,False,
2017,2017_nov_p1_exam_maths,P1,10,10.1,4.0,Draw a Venn diagram to illustrate the information above.,ok,PROB,,signature,high,venn,path_a,False,
2017,2017_nov_p1_exam_maths,P1,10,10.2,2.0,Calculate the value of x.,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,10,10.3,3.0,"Calculate the probability that a learner, chosen randomly, uses only ONE of these
applications. (2)",ok,PROB,,signature,medium,nsc_probability,path_a,False,
2017,2017_nov_p2_exam_maths,P2,10,10.1,1.0,Give a reason why OV MN.,ok,EUCL,,lexicon,medium,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,10,10.2,,Prove that:,stem,EUCL,,struct,medium,STRUCT_EUCL,path_a,False,
2017,2017_nov_p2_exam_maths,P2,10,10.2.1,2.0,MN || TS,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,10,10.2.2,4.0,TMNS is acyclic quadrilateral,ok,EUCL,,signature,high,cyclic_quad,path_a,False,
2017,2017_nov_p2_exam_maths,P2,10,10.2.3,,"OS . MN =20N . WS (5)

[12]

Copyright reserved Please turn over

===== Page 13 =====
Mathematics/P2 13 DBE/November 2017
NSC",missing_marks,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,11,11.1,3.0,"How many different clients can be identified with a coding system that is made up of
TWO letters and TWO digits?",ok,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,11,11.2,,"Determine the least number of digits that is required for a company to uniquely
identify 700 000 clients using their coding system. (3)
[6]
TOTAL: 150
Copyright reserved

===== Page 9 =====
Mathematics/P 1 DBE/November 2017
NSC
INFORMATION SHEET: MATHEMATICS
—b+\b* —4ac
x =——__—_—_—
2a
A=P(l+ni) A= P(1-ni) A=P(1-i)"" A= P(1+i)”
T, =at+(n-l)d S, = 5 a+ (n-Dd]
T, =ar"""" S _ alr” -1) ;r#l S,=—-;-ler<l
. r—1 l-r
i i
; h) ~ f(x)
(x) = lim L(x th)- Ff)
Le h->0 h
i aes Xp +X, yy +y
d=y(x, —x,)* +(y, ~y,)? Ma)
_ _y _ y27V _
y=mxt+e y-y, =m(x-x,) m= ++ m=tan@
x2 ~*)
(x—a) +(y-b) =r?
InAABC: 4 Fe
snA sinB~ sinC
a* =b* +¢? —2bce.cos A
area AABC = = absinC
sin(a+ B) = sina.cos# + cosa.sin sina — B) = sina.cos# —cosa.sin£
cofat B) =cosa.cos#—sina.sinB cosar— B) = cosa@.cos# +sina.sinZ
[cos? a-—sin’a@
cos2a@ =<41—-2sin’ a sin2a@ = 2sina.cosa
[pcos a-l
7 2
_ ee: ; Dil, —x)
x = OO ———
nh n
n(A) _
P(A) = a8) P(A or B) = P(A) + P(B) — P(A and B)
nh
Di @- xy -3)
p=ath b= SS
Yeas ox ye)
Copyright reserved",missing_marks,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,11,11.1,,"In the diagram, chords KM, MN and KN are drawn in the circle with centre O.

PNQ is the tangent to the circle at N.

(
<= |
aS N
P

Prove the theorem which states that MNQ =K, (5)

Copyright reserved Please turn over

===== Page 14 =====
Mathematics/P2 14 DBE/November 2017
NSC",missing_marks,CALC,,signature,high,tangent_gradient,path_a,False,
2017,2017_nov_p2_exam_maths,P2,11,11.2,,"In the diagram, BC is a diameter of the circle. The tangent at point D on the
circle meets CB produced at A. CD is produced to E such that EA 1 AC.
BD is drawn.
Let C=x.
E
NN
NN
De
A “Sy
1 / ~
| a 2 2/ A _ |
A BS ec
/
\ /",stem,CALC,,signature,high,tangent_gradient,path_a,False,
2017,2017_nov_p2_exam_maths,P2,11,11.2.1,1.0,"Give a reason why:
(a) D,=90° (1)
(b) ABDE is a cyclic quadrilateral (1)
() D,=x",ok,EUCL,,signature,high,cyclic_quad,path_a,False,
2017,2017_nov_p2_exam_maths,P2,11,11.2.2,3.0,"Prove that:
(a) AD=AE (3)
(b) AADB ||| AACD",ok,EUCL,,struct,medium,STRUCT_EUCL,path_a,False,
2017,2017_nov_p2_exam_maths,P2,11,11.2.3,,"It is further given that BC = 2AB = 2r.
(a) Prove that AD’ =3r’ (2)
(b) Hence, prove that AADE is equilateral. (4)
[20]
TOTAL: 150
Copyright reserved

===== Page 15 =====
Mathematics/P2 DBE/November 2017
NSC
INFORMATION SHEET: MATHEMATICS
~b+\b? —4ac
X=
2a
A= P(1+ni) A= P(1-ni) A= P(l—i)"" A= P(1+i)""
T, =a+(n-ld S, = 5 [2a+ (nnd
T, =ar”™"" S _ alr” -1) ;re#l S,=—-;-ler<l
""— r-l l-r
past = p04"")
i i
Poa tim LOAF)
h->0 h
nn. nn) X tx, ypty
d= \(x, —x,)7 +(y, -y,)° M2122)
2 2
_ _ v2 7 _
y=mxt+e y-y, =m(x-x,) m= m=tan0
%27~*)
(a)? +(y-2) =P
InAABC: So
snA sinB~ sinC
a* =b* +¢7 —2be.cosA
area KAABC = 5 absinc
sin(a + B) = sina.cosf + cosa.sin 8 sin(a - B) = sina.cos # —cosa.sin 8
coat B) =cosa.cos#—sina.sin B cola —B) =cosa@.cos#+sina.sin #
[ere a-—sin’ a
cos2a@ =41—2sin* a sin2a@ = 2sina.cosa
ls cos” a-l
n 2
Yix > (x, x)
x= ot og? = 1 _
a nh
_ nA) _
P(A) = =) P(A or B) = P(A) + P(B) — P(A and B)
ft
x-x\Ky-y
p=atbx p= ae ko=9)
5 (x—-¥)
Copyright reserved",missing_marks,EUCL,,struct,medium,STRUCT_EUCL,path_a,False,
